resume_text,job_description,match_score
"Experienced Data Scientist with 4+ years in statistical modeling, Python, R, scikit-learn, TensorFlow, and PyTorch. Proven track record of building predictive models, customer segmentation pipelines, and NLP classifiers. Proficient in SQL, Pandas, NumPy, Tableau for data visualization, and AWS SageMaker for model deployment. Master's in Computer Science with focus on Machine Learning.","We are looking for a Senior Data Scientist skilled in Python, machine learning algorithms, statistical analysis, and deep learning frameworks like PyTorch or TensorFlow. Experience with SQL, Pandas, data visualization (Tableau/Power BI), and cloud deployment (AWS/GCP) is required. M.S. in Computer Science, Statistics or related field preferred.",92
"Data Scientist skilled in Python, Pandas, Scikit-learn, SQL, Exploratory Data Analysis, Feature Engineering, Regression, Classification, and Clustering algorithms. Hands-on experience with A/B testing, hypothesis testing, and creating dashboards with Streamlit and Matplotlib. Strong background in mathematics and statistical analysis.","Seeking a Data Scientist with strong proficiency in Python, SQL, statistical modeling, machine learning with Scikit-learn, feature engineering, and exploratory data analysis. The ideal candidate will design experiments, run A/B tests, and build predictive algorithms.",88
"Senior Data Scientist with expertise in predictive analytics, machine learning, Python, NumPy, Pandas, Scikit-Learn, XGBoost, and big data tools like PySpark and Hadoop. Built enterprise churn prediction models and recommendation engines. Proficient in Docker, Git, and REST API deployment with FastAPI.","Wanted: Lead Data Scientist with deep knowledge in predictive modeling, Python, Scikit-learn, XGBoost, PySpark, and model deployment using FastAPI and Docker. Experience in building recommendation systems and churn prediction models is highly valued.",95
"Lead Data Scientist specializing in NLP, Large Language Models (LLMs), LangChain, Hugging Face transformers, PyTorch, Python, vector databases (Pinecone, ChromaDB), and MLOps. 5 years experience delivering NLP solutions for fintech and healthcare industries.","Looking for an NLP Data Scientist with expertise in Transformers, Hugging Face, Python, PyTorch, LangChain, and vector embeddings. Responsible for developing LLM-powered applications and conversational AI systems.",94
"Data Analyst with 3 years of experience in SQL, Excel, Tableau, and basic Python (Pandas, Matplotlib). Skilled in building business intelligence dashboards, ETL processes, and descriptive data summaries. Looking to transition into data science.","Seeking a Data Scientist with strong machine learning experience in Python, Scikit-learn, TensorFlow, deep learning, statistical modeling, and production deployment on AWS.",58
"Software Engineer with strong Python, Django, PostgreSQL, and basic familiarity with Pandas and Scikit-learn. Built web backends and REST APIs. Completed online certifications in Machine Learning and Data Science.","We are seeking a Data Scientist to build predictive models, run multivariate statistical tests, and implement machine learning algorithms using Python, Scikit-learn, PyTorch, and SQL.",62
"Academic Researcher with PhD in Physics. Extensive background in numerical simulations, Python, NumPy, SciPy, statistical data analysis, and scientific computing. Limited experience with industry standard ML production stacks (Docker, AWS, FastAPI).","Data Scientist needed to develop machine learning models, customer lifetime value algorithms, and production pipelines using Python, SQL, Docker, Scikit-Learn, and cloud infrastructure.",67
"Frontend Web Developer with 3 years of experience in React, HTML5, CSS3, JavaScript, TypeScript, Tailwind CSS, Redux, and responsive UI design. Built modern web applications and single-page apps.","Looking for a Data Scientist to develop statistical models, machine learning algorithms, deep neural networks using Python, TensorFlow, PyTorch, and SQL.",18
"Digital Marketing Specialist with expertise in SEO, Google Ads, content marketing, social media campaigns, Google Analytics, and email marketing automation using Mailchimp and HubSpot.","Seeking a Senior Data Scientist to design and train predictive machine learning models using Python, R, Scikit-learn, XGBoost, and BigQuery.",10
"Network and Systems Administrator with certifications in CCNA, CompTIA Network+, Windows Server, Linux administration, VMware, and network security firewalls.","Data Scientist required for developing machine learning pipelines, NLP models, and statistical analysis using Python, Pandas, Scikit-Learn, and PyTorch.",12
